K	ACC	F1	NMI	AMI	ARI	Homogeneity	Completeness	Time
6.0	293.0	0.9781764895594682	0.9075324814767899	0.9066542929000354	0.9378892163340894	0.9147005426709789	0.900475891919813	0.02596426010131836
8.0	289.0	0.9632669749767612	0.8531702933374583	0.8522614008258019	0.8911227942759626	0.8513524733556908	0.8549958928005525	0.026694536209106445
9.0	289.0	0.9632669749767612	0.8531702933374583	0.8522614008258019	0.8911227942759626	0.8513524733556908	0.8549958928005525	0.0898749828338623
5.0	236.0	0.8584971213251468	0.734993956602252	0.7297053002549992	0.7250516358540434	0.8966531705076972	0.6227222426928843	0.023896217346191406
7.0	232.0	0.8485152019285412	0.7295610489591525	0.7265688878679175	0.697345759929321	0.8461937101383908	0.6411851494536416	0.025737285614013672
11.0	234.0	0.8040451268515718	0.6704492511129266	0.6675908652808914	0.6057821586227046	0.7224913165038707	0.6254007553562044	0.04940295219421387
10.0	233.0	0.8023816299192644	0.6330901226869549	0.6288547530656995	0.5817563340051795	0.7015757383528115	0.5767860806805335	0.03188633918762207
12.0	230.0	0.7647471501884414	0.5519944629761079	0.5479477187758626	0.519165624928842	0.5754159032685727	0.530405119065981	0.03571629524230957
15.0	225.0	0.7102916099773243	0.5256154080159133	0.5225085624332949	0.45691377549019846	0.4980775294118472	0.5563765421169836	0.0409846305847168
14.0	224.0	0.7053991056154956	0.5226455263649099	0.5195118701422861	0.45325354662857864	0.4942385490421774	0.5545170879262574	0.03644537925720215
4.0	132.0	0.5946664942598677	0.525773921818854	0.5067834668550064	0.30560976432623976	0.8932603403472213	0.37251969044795974	0.021851539611816406
13.0	146.0	0.4086849673202614	0.4480597016393932	0.4420994156433845	0.39503895863925254	0.4181494377774871	0.4825785879402259	0.03521871566772461
3.0	75.0	0.38905812773403325	0.44395447576618213	0.4092400430962143	0.13626728591782844	0.8900320083369859	0.2957345049777162	0.08202099800109863
2.0	39.0	0.2140221725701736	0.35975767465092445	0.28164909007743255	0.04490852706395999	0.8186446441791242	0.2305333898553424	0.018567800521850586
1.0	22.0	0.07793880837359099	0.3089528438268237	0.15907938569577462	0.01447542982768468	0.6841318761775453	0.1995301728661401	0.08571791648864746
